Time_Step,Z17.5_Concentration,Z2.5_Concentration
819,0.0625,0.165
820,0.0775,0.1225
821,0.0625,0.1375
822,0.045,0.15
823,0.0775,0.1575
824,0.05,0.135
825,0.065,0.1275
826,0.06,0.185
827,0.0475,0.1625
828,0.0625,0.1575
829,0.045,0.1675
830,0.0525,0.155
831,0.06,0.16
832,0.045,0.13
833,0.0625,0.1575
834,0.06,0.1375
835,0.065,0.14
836,0.05,0.14
837,0.055,0.1375
838,0.0475,0.17
839,0.075,0.125
840,0.065,0.1175
841,0.08,0.1525
842,0.06,0.17
843,0.0475,0.1775
844,0.08,0.1425
845,0.075,0.1425
846,0.0825,0.1525
847,0.0775,0.15
848,0.065,0.145
849,0.075,0.1425
850,0.065,0.1475
851,0.0675,0.1675
852,0.0575,0.145
853,0.035,0.1125
854,0.055,0.1375
855,0.065,0.15
856,0.06,0.1625
857,0.065,0.18
858,0.0775,0.165
859,0.0775,0.16
860,0.0725,0.1475
861,0.0675,0.1325
862,0.065,0.1475
863,0.0725,0.1475
864,0.0725,0.155
865,0.0775,0.1325
866,0.0625,0.1675
867,0.055,0.1475
868,0.0425,0.14
869,0.065,0.135
870,0.0425,0.1475
871,0.0475,0.135
872,0.055,0.135
873,0.055,0.15
874,0.055,0.16
875,0.0575,0.175
876,0.065,0.1275
877,0.065,0.12
878,0.065,0.1025
879,0.075,0.145
880,0.05,0.1525
881,0.08,0.145
882,0.055,0.14
883,0.0775,0.13
884,0.0875,0.17
885,0.0575,0.145
886,0.0625,0.145
887,0.06,0.1725
888,0.0575,0.19
889,0.0675,0.1725
890,0.09,0.1275
891,0.075,0.1775
892,0.0675,0.145
893,0.0675,0.12
894,0.0425,0.115
895,0.06,0.15
896,0.055,0.1725
897,0.08,0.1225
898,0.055,0.155
899,0.065,0.1425
900,0.0775,0.1625
901,0.0825,0.145
902,0.0625,0.1625
903,0.0725,0.1825
904,0.0675,0.16
905,0.0625,0.1725
906,0.06,0.185
907,0.05,0.1775
908,0.0475,0.1575
909,0.0575,0.1975
910,0.0475,0.1825
911,0.0575,0.16
912,0.06,0.195
913,0.0425,0.1925
914,0.045,0.1675
915,0.0475,0.165
916,0.065,0.1725
917,0.06,0.165
918,0.06,0.175
919,0.065,0.16
920,0.0875,0.1725
921,0.0675,0.1475
922,0.05,0.1575
923,0.0625,0.1375
924,0.065,0.1425
925,0.0675,0.145
926,0.0825,0.1675
927,0.0875,0.175
928,0.0825,0.1475
929,0.0625,0.155
930,0.06,0.1425
931,0.0575,0.15
932,0.0775,0.19
933,0.065,0.165
934,0.0875,0.1325
935,0.0675,0.1625
936,0.0475,0.155
937,0.0375,0.17
938,0.0475,0.155
939,0.06,0.17
940,0.0525,0.165
941,0.065,0.14
942,0.06,0.0975
943,0.06,0.1175
944,0.065,0.1475
945,0.07,0.155
946,0.0775,0.1725
947,0.0575,0.155
948,0.0575,0.1425
949,0.0575,0.1575
950,0.0725,0.1575
951,0.075,0.1825
952,0.04,0.185
953,0.05,0.1475
954,0.0625,0.2025
955,0.07,0.175
956,0.085,0.1275
957,0.0825,0.1775
958,0.0575,0.15
959,0.0775,0.16
960,0.0575,0.16
961,0.045,0.155
962,0.0775,0.1525
963,0.075,0.165
964,0.05,0.185
965,0.06,0.205
966,0.065,0.1475
967,0.0575,0.175
968,0.07,0.17
969,0.0725,0.155
970,0.0575,0.1775
971,0.06,0.205
972,0.0575,0.175
973,0.07,0.1225
974,0.0625,0.1625
975,0.07,0.1325
976,0.06,0.1775
977,0.075,0.175
978,0.04,0.1675
979,0.055,0.1775
980,0.0525,0.1675
981,0.0675,0.15
982,0.05,0.19
983,0.05,0.215
984,0.055,0.1825
985,0.055,0.2125
986,0.0675,0.1975
987,0.07,0.2025
988,0.065,0.185
989,0.07,0.1825
990,0.0575,0.1775
991,0.0625,0.14
992,0.065,0.19
993,0.0725,0.15
994,0.075,0.1625
995,0.06,0.1575
996,0.06,0.22
997,0.065,0.1675
998,0.07,0.18
999,0.075,0.19
1000,0.0825,0.19
1001,0.08,0.1825
1002,0.0775,0.155
1003,0.07,0.18
1004,0.0925,0.145
1005,0.08,0.1475
1006,0.06,0.1825
1007,0.1025,0.1875
1008,0.075,0.1875
1009,0.06,0.1675
1010,0.06,0.145
1011,0.0875,0.1375
1012,0.07,0.1675
1013,0.0475,0.185
1014,0.0525,0.17
1015,0.065,0.17
1016,0.08,0.1625
1017,0.075,0.18
1018,0.0575,0.18
1019,0.0675,0.1775
1020,0.055,0.1625
1021,0.06,0.1925
1022,0.065,0.1825
1023,0.0725,0.155
1024,0.0775,0.1775
1025,0.0525,0.165
1026,0.08,0.1725
1027,0.0775,0.1825
1028,0.0625,0.155
1029,0.075,0.19
1030,0.075,0.205
1031,0.065,0.1875
1032,0.0775,0.2
1033,0.0725,0.1725
1034,0.0525,0.16
1035,0.065,0.1775
1036,0.05,0.1675
1037,0.065,0.1675
1038,0.0575,0.1425
1039,0.0825,0.1825
1040,0.0675,0.1825
1041,0.065,0.1925
1042,0.0575,0.22
1043,0.07,0.1975
1044,0.0725,0.1775
1045,0.0475,0.1525
1046,0.075,0.1925
1047,0.065,0.1825
1048,0.075,0.15
1049,0.07,0.1475
1050,0.0725,0.1475
1051,0.0725,0.2
1052,0.0575,0.175
1053,0.0825,0.1925
1054,0.075,0.195
1055,0.055,0.1625
1056,0.085,0.1725
1057,0.0675,0.2025
1058,0.105,0.205
1059,0.0675,0.195
1060,0.075,0.2125
1061,0.055,0.1925
1062,0.0875,0.205
1063,0.0575,0.2
1064,0.0725,0.185
1065,0.0575,0.135
1066,0.055,0.145
1067,0.065,0.1675
1068,0.0725,0.17
1069,0.0625,0.1775
1070,0.0575,0.17
1071,0.0675,0.18
1072,0.0475,0.1325
1073,0.065,0.17
1074,0.1,0.1575
1075,0.08,0.1925
1076,0.0375,0.18
1077,0.065,0.18
1078,0.065,0.2
1079,0.0475,0.185
1080,0.085,0.185
1081,0.0675,0.1625
1082,0.0725,0.2
1083,0.085,0.175
1084,0.0875,0.175
1085,0.07,0.1775
1086,0.0675,0.185
1087,0.0875,0.165
1088,0.0875,0.185
1089,0.05,0.165
1090,0.075,0.1725
1091,0.075,0.18
1092,0.06,0.1875
1093,0.08,0.155
1094,0.0675,0.15
1095,0.07,0.13
1096,0.0525,0.155
1097,0.0525,0.16
1098,0.0775,0.1875
1099,0.0875,0.1975
1100,0.075,0.1725
1101,0.07,0.1925
1102,0.0775,0.195
1103,0.07,0.15
1104,0.0525,0.165
1105,0.0725,0.17
1106,0.095,0.17
1107,0.0675,0.17
1108,0.0725,0.185
1109,0.0725,0.1875
1110,0.0725,0.19
1111,0.0525,0.16
1112,0.0575,0.185
1113,0.0775,0.2
1114,0.07,0.1625
1115,0.0475,0.17
1116,0.06,0.2025
1117,0.065,0.2025
1118,0.0775,0.2275
1119,0.065,0.2
1120,0.075,0.185
1121,0.07,0.185
1122,0.0525,0.1675
1123,0.0625,0.1725
1124,0.0775,0.1725
1125,0.0725,0.145
1126,0.0725,0.155
1127,0.0675,0.1825
1128,0.0825,0.1925
1129,0.0575,0.1825
1130,0.0725,0.17
1131,0.05,0.16
1132,0.0525,0.18
1133,0.0475,0.205
1134,0.0575,0.1625
1135,0.095,0.19
1136,0.0725,0.1925
1137,0.07,0.19
1138,0.0775,0.1975
1139,0.0725,0.1675
1140,0.06,0.1725
1141,0.08,0.2075
1142,0.0825,0.195
1143,0.065,0.195
1144,0.075,0.1975
1145,0.065,0.195
1146,0.0675,0.1775
1147,0.06,0.1975
1148,0.0575,0.19
1149,0.0675,0.165
1150,0.06,0.1475
1151,0.075,0.18
1152,0.07,0.2225
1153,0.0575,0.1725
1154,0.06,0.17
1155,0.09,0.165
1156,0.0575,0.1825
1157,0.065,0.145
1158,0.06,0.1475
1159,0.07,0.1675
1160,0.095,0.1975
1161,0.0875,0.1825
1162,0.0925,0.17
1163,0.0975,0.1625
1164,0.0775,0.1825
1165,0.085,0.145
1166,0.09,0.17
1167,0.1,0.15
1168,0.1075,0.18
1169,0.105,0.135
1170,0.0825,0.165
1171,0.095,0.2
1172,0.0675,0.2025
1173,0.0925,0.2
1174,0.1025,0.18
1175,0.0925,0.17
1176,0.105,0.165
1177,0.065,0.1775
1178,0.0775,0.2075
1179,0.085,0.2225
1180,0.065,0.19
1181,0.0625,0.1925
1182,0.09,0.17
1183,0.0975,0.19
1184,0.08,0.215
1185,0.0875,0.1925
1186,0.0825,0.1825
1187,0.065,0.19
1188,0.065,0.1925
1189,0.0625,0.2
1190,0.06,0.2075
1191,0.0575,0.2425
1192,0.0525,0.2025
1193,0.08,0.1875
1194,0.075,0.1775
1195,0.065,0.205
1196,0.06,0.1475
1197,0.06,0.1625
1198,0.05,0.1975
1199,0.0725,0.1925
1200,0.065,0.1975
1201,0.0775,0.2075
1202,0.08,0.195
1203,0.08,0.1825
1204,0.0725,0.2225
1205,0.0675,0.175
1206,0.0675,0.19
1207,0.0775,0.18
1208,0.0925,0.2025
1209,0.0875,0.19
1210,0.0775,0.1975
1211,0.065,0.225
1212,0.0725,0.1975
1213,0.0875,0.17
1214,0.065,0.1925
1215,0.065,0.24
1216,0.065,0.1825
1217,0.0575,0.1925
1218,0.06,0.19
1219,0.07,0.2025
1220,0.06,0.1875
1221,0.075,0.1725
1222,0.07,0.175
1223,0.06,0.2375
1224,0.06,0.2175
1225,0.06,0.205
1226,0.06,0.2125
1227,0.065,0.1825
1228,0.06,0.17
1229,0.0775,0.2525
1230,0.0775,0.2025
1231,0.08,0.165
1232,0.0725,0.17
1233,0.1125,0.1725
1234,0.0675,0.165
1235,0.065,0.1925
